id;voucher_id;specimen_id;error_type_id;error_type_code;category_id;discussion_available;notes
1;B101212932;;1;1;0;0;
2;B 10 1039812;;1;1;0;0;
3;B 10 0677802;;1;1;0;0;
4;B 30 0319836;;9;7;2;0;Region ist aktuell „FI-15 Pohjois-Savo“
5;B 10 1064766;;1;1;0;0;kleiner Teil der Fundortbeschreibung fehlt, evtl. nicht wichtig/nötig?
6;B 10 0293015;;4;3b;9;0;Geolokation unnötig, Etikettenautor ist auch nicht sicher und zu Sibolangit kommen mehrere Gebiete in Frage, die 60 km voneinander entfernt sind, „Ich bin mir nicht sicher.“ angegeben, aber hilft nix
7;B 30 0313021;;1;1;0;0;System hat eher aus Zufall die richtige Fundortbeschreibung gewählt, 3 verschiedene wurden eingegeben (first come, first served)
8;B 10 1064102;;1;1;0;0;
9;B101096284;;1;1;0;0;
10;B101072266;;1;1;0;0;
11;B 10 1186865;;1;1;0;0;
12;B 10 1027440;;1;1;0;0;
13;B 10 1185813;;7;5;2;0;Unentscheidbar, da Etikett widersprüchlich, Karibib liegt in der Region Erongo, näher am Rand der Namib (Namibrand), Otjosondu in der Region Otjozondjupa, auch nach intensiver Recherche lässt sich nicht klar feststellen, was Seydel hier meint (gbif, JACQ), siehe auch „B101123019 “
14;B 10 1185813;;4;3b;9;0;Unnötig lokalisiert, da widersprüchliche Etikettenangaben zum Fundort (Region unentscheidbar), zwischen Karibib und Otjosondu liegen Luftlinie 100 km
15;B 10 1180722;;1;1;0;0;
16;B 10 0001506;;1;1;0;1;Diskussion war hier sehr hilfreich
17;B101127834;;1;1;0;0;
18;B 10 0423610;;1;1;0;0;
19;B 10 1178249;;1;1;0;1;Diskussion war hier sehr hilfreich
20;B100704511;;1;1;0;0;
21;B100138099;;1;1;0;0;
22;B101071297;;5;3c;9;1;"Ungünstig lokalisiert, Fundortbeschreibung nicht gut beachtet (Etikett: 22 km N. of Vanrhynsdorp and 1 km E. of the highway to Garies, along track to ""Douse the Glim""), die falsch gewählten Koordinaten liegen 42 km N von Vanrhynsdorp, 20 km von korrekt entfernt, farm „Douse the Glim“ ist gut mit geonames.org auffindbar, direkten Weg (track) dorthin existiert, korrekt also: „-31.400535 , 18.687744“,  siehe Validierungsproblem "
23;B101071297;;11;8b;9;1;Vorrangfrage und Mehrheit ohne Einfluss, erste Eingabe ungenau und validiert, die beiden später gewählten Koordinaten sind korrekter, siehe dazu im Gegensatz B 10 0029202
24;B 10 0677214;;1;1;0;0;
25;B 10 1021390;;3;3a;9;0;Falsch lokalisiert, der Name des Gipfels (Itacolomi) existiert öfter, die Beschreibung „in der Nähe des Ortes Ouro Preto“ wurde missachtet, korrekte Koordinaten: „-20.428219, -43.473673“ (falsch lokalisierter Ort liegt davon 160 km entfernt)
26;B 10 1181433;;1;1;0;0;
27;B101123903;;1;1;0;0;
28;B 10 1179969;;2;2;2;0;Region nicht aktuell, korrekte Region „GR-M Kreta (Kríti)“ stand zum Zeitpunkt der Dateneingabe zur Verfügung
29;B 10 1178502;;1;1;0;0;
30;B 10 1185880;;1;1;0;0;
31;B 10 1002260;;9;7;2;0;Region ist aktuell „FR-HDF Hauts-de-France“
32;B101128551;;1;1;0;0;
33;B 10 1027641;;1;1;0;0;
34;B 10 1065130;;1;1;0;0;
35;B 10 0001510;;1;1;0;0;
36;B101128792;;1;1;0;0;
37;B 10 0503966;;1;1;0;0;
38;B101125919;;1;1;0;0;
39;B 30 0311786;;1;1;0;0;100-Jahr-Fehler, beim barcode Check korrekt (JACQ)
