id;voucher_id;mission_id
1;B101212932;12
2;B 10 1039812;3
3;B 10 0677802;6
4;B 30 0319836;1
5;B 10 1064766;5
6;B 10 0293015;6
7;B 30 0313021;1
8;B 10 1064102;5
9;B101096284;10
10;B101072266;9
11;B 10 1186865;6
12;B 10 1027440;5
13;B 10 1185813;6
14;B 10 1180722;3
15;B 10 0001506;2
16;B101127834;10
17;B 10 0423610;6
18;B 10 1178249;3
19;B100704511;12
20;B100138099;12
21;B101071297;9
22;B 10 0677214;6
23;B 10 1021390;4
24;B 10 1181433;6
25;B101123903;10
26;B 10 1179969;3
27;B 10 1178502;3
28;B 10 1185880;6
29;B 10 1002260;3
30;B101128551;10
31;B 10 1027641;5
32;B 10 1065130;5
33;B 10 0001510;2
34;B101128792;10
35;B 10 0503966;6
36;B101125919;10
37;B 30 0311786;1
38;B101127394;10
39;B 10 1039751;3
40;B 10 0611585;5
41;B101071444;9
42;B 10 1177104;7
43;B 10 0677116;6
44;B 10 1180957;3
45;B100013051;10
46;B 30 0311183;1
47;B 30 0313717;1
48;B 30 0313387;1
49;B 10 0048876;5
50;B100351714;11
51;B 10 1180626;3
52;B 10 0677282;6
53;B101033452;10
54;B 10 0544073;6
55;B101001103;12
56;B 10 1026882;5
57;B101071273;9
58;B 10 1184301;6
59;B 30 0318109;1
60;B 10 1181903;6
61;B 30 0316260;1
62;B101126746;10
63;B101023395;8
64;B 30 0317306;1
65;B 10 1175118;7
66;B 10 1182306;6
67;B 10 1186687;6
68;B101123595;10
69;B 10 1022869;4
70;B 10 1023013;4
71;B 10 1180140;3
72;B101126024;10
73;B101200724;12
74;B101223153;12
75;B 30 0317835;1
76;B101125012;10
77;B 10 1175647;7
78;B101199008;11
79;B101122239;10
80;B 10 0299486;7
81;B 10 1177039;7
82;B 10 1176059;7
83;B 10 1026762;5
84;B100740367;10
85;B100606260;12
86;B101071055;9
87;B 30 0319698;1
88;B 10 0652779;6
89;B 10 1175097;7
90;B 10 1181192;3
91;B 10 9008122;3
92;B 10 1178485;3
93;B 10 1039218;5
94;B 10 1176340;7
95;B101028091;8
96;B101129715;10
97;B 10 1026269;5
98;B 10 1176614;7
99;B 30 0310329;1
100;B 10 0544037;6
101;B 30 0319011;1
102;B101213758;12
103;B 30 0314424;1
104;B101125171;10
105;B 10 1183132;6
106;B101123239;10
107;B 10 1040143;3
108;B 30 0316132;1
109;B101123600;10
110;B101097177;10
111;B101122648;10
112;B 10 1182762;6
113;B101072429;9
114;B101126827;10
115;B101122229;10
116;B 10 0761465;5
117;B100313046;12
118;B 30 0318860;1
119;B 10 0013588;6
120;B101200690;12
121;B101072726;9
122;B 10 1021351;4
123;B 10 0677313;6
