specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info
BGBM;B;B 30 0310005;1;14;; ;Pohlia acuminata;;Schweiz;;False;False;False;Bern(Berne);False;False;False;08/08/2012 - 14/08/2012;False;False;P. Culmann;;False;False;;;True;Schmocken bei Beatenberg;False;False;46.6905 , 7.76618;;False;False
BGBM;B;B 30 0310006;1;14;; ;Pohlia acuminata;;Schweden;;False;False;False;Jämtlands län;False;False;False;12/08/1975 - 12/08/1975;False;False;Frahm;;False;False;;;True;Flora vonb Schweden. Jämtland, Åre, Handölsfallen, auf einem erdigen Felssims. ;False;False;63.2498 , 12.444;;False;False
BGBM;B;B 30 0310007;1;14;; ;Pohlia andalusica;;Finnland;;False;False;False;Etelä-Suomen lääni(Södra Finlands län);False;False;False;02/07/1998 - 02/07/1998;False;False;K. Karttolnen & J. Hyvönen;;False;False;J. Shaw;False;False;Bottom of Kettle hole  KOSKI: Kurjala near Border of Lamni commune, 0,5 km WSW of Ristilähde farmhouse, Heinisuo Fen 134 m alt.  61°02'N,  25°02'30 E.;False;False;61.0333 , 25.0416;;False;False
BGBM;B;B 30 0310008;1;14;; ;Pohlia andalusica;;Vereinigtes Königreich;;False;False;False;Cornwall;False;False;False;25/02/2004 - 25/02/2004;False;False;D.T. Holyoak;;False;False;;;True;"W. Cornwall: W of Roscroggan (N of Camborne) (vc1; SW646418) unshaded, sparsely vegetated, copper-mine spoil; ca 50 m alt.";False;False;50.2307 , -5.29583;;False;False
BGBM;B;B 30 0310009;1;14;; ;Pohlia andrewsii;;Österreich;;False;False;False;Tirol;False;False;False;02/09/1993 - 02/09/1993;False;False;J.-P.Frahm;;False;False;;;True;Pitztal, Umgebung Braunschweiger Hütte, auf humosen Boden, Höhe: 2700 m;False;False;46.9355 , 10.9094;;False;False
BGBM;B;B 30 0310010;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;26/11/2006 - 26/11/2006;False;False;Frahm;;False;False;;;True;Kreis Kleve, Die Leucht N Kamp Lintfort, Maisstoppelacker am Südwestrand bei Fünderich, MTB: 4403, Höhe: 25 m;False;False;51.5336 , 6.48026;;False;False
BGBM;B;B 30 0310011;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;23/01/2005 - 23/01/2005;False;False;Frahm;;False;False;;;True;"Moosflora von Deutschland. Nordrhein-Westfalen, Kr. Geilenkirchen, ehem. Grube Grünewald SW Untereschbach; Schwermetallschlammhalde, MTB 5109C, Höhe: 150 m, No.: 8136.";False;False;50.9461 , 7.20324;;False;False
BGBM;B;B 30 0310012;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Bayern;False;False;False;12/07/1987 - 12/07/1987;False;False;A. Holler;;False;False;;;True;Allgäu: ober dem Wildsee bei Hinterstein, Hornstein, 1820 m;False;False;47.4859 , 10.4292;;False;False
BGBM;B;B 30 0310013;1;14;; ;Pohlia bulbifera;;Russland;;False;False;False;(Khanty-Mansiyskiy avtonomnyy okrug);False;False;False;27/07/2000 - 27/07/2000;False;False;I. V. Czernyadjeva et E. Ju. Kuzmina;;False;False;I. V. Czernyadjeva et E. Ju. Kuzmina;False;False;West Siberia. Middle Ob River, Vah River Basin, Lower Sabun River, vicinity of Lar'yak Settlement;False;False;61.0992 , 80.2603;;False;False
BGBM;B;B 30 0310014;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Rheinland-Pfalz;False;False;False;08/01/2005 - 08/01/2005;False;False;Frahm;;False;False;;;True;Moosflora von Deutschland. Rheinland-Pfalz, Kr. Ahrweiler, Brohltal, Bad Tönisstein Trassfelsen;False;False;50.4544 , 7.29041;;False;False
BGBM;B;B 30 0310015;1;14;; ;Pohlia bulbifera;;Frankreich;;False;False;False;Franche-Comté;False;False;False;23/09/2003 - 23/09/2003;False;False;J.-P. Frahm;;False;False;;;True;Dépt. Haute-Saône, oberhalb La Montagne, Rand eines Fischteiches, Karte: 3519C, Höhe(m): 750;False;False;47.9231 , 6.60857;;False;False
BGBM;B;B 30 0310016;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Rheinland-Pfalz;False;False;False;24/06/2007 - 24/06/2007;False;False;Frahm;;False;False;;;True;"Kr. Ahrweiler, Staatsforst Adenau N Herschbach, E Haus Thomich, Waldweg; MTB: 5508; Höhe: 480 m";False;False;50.4506 , 7.03525;;False;False
