specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;apocynaceae_scientific_name - scientific_name;apocynaceae_scientific_name - species_name_not_in_list;apocynaceae_scientific_name - genus_name_not_in_list;apocynaceae_scientific_name - not_sure;apocynaceae_scientific_name - no_info
B;Herbarium Berolinense;B100013111;10;8501351;Apocynaceae;indet.;sp.;;Kamerun;False;;;;Sud-Ouest;;;;20/03/1986 - 20/03/1986;False;False;D. W. Thomas & J. Nemba;;False;5926;False;D. W. Thomas;;False;Forest near Konye 40 km north of Kumba on Mamfe road. Elev. 250 m.;False;;;True;4.9666667 , 9.416666666666666;;;;False;Funtumia elastica (Preuss) Stapf;;;;
B;Herbarium Berolinense;B100013110;10;8501351;Apocynaceae;indet.;sp.;;Demokratische Republik Kongo;False;;;False;Ituri;;;;01/02/1989 - 01/02/1989;False;False;T. Hart;;False;881;False;;;True;Epulu. Alt: 750m. Zone de Mambasa. Forêt mixte;False;;;True;1.4166667 , 28.583333333333332;;;;False;Funtumia elastica (P. Preuss) Stapf;;;;
B;Herbarium Berolinense;B101124401;10;8501351;Apocynaceae;indet.;sp.;;Tansania;True;;;;Tanga;;;;01/01/1910 - 31/12/1910;False;False;A. Peter;;False;58306;False;H. Zwetsloot;;False;D Ost Afrika, O Usambara: Amani;False;;A. Peter, Reisen in Afrika 1913-1919;False;-5.101527 , 38.634945;;;;False;Funtumia elastica (Preuss) Stapf;;;;
B;Herbarium Berolinense;B101124399;10;8501351;Apocynaceae;indet.;sp.;;Tansania;True;;;;Tanga;;;;13/04/1915 - 13/04/1915;False;False;A. Peter;;False;58173;False;H. Zwetsloot;;False;D. Ost-Afrika, O. Usambara. Amani. Kult. c. 900 m ü. M., V.1 Z.-;False;;A. Peter, Reisen in Afrika;False;-5.100492 , 38.634786;;;;False;Funtumia elastica (Preuss) Stapf;;;;
B;Herbarium Berolinense;B101124400;10;8501351;Apocynaceae;indet.;sp.;;Tansania;True;;;False;Tanga;;;False;13/04/1915 - 13/04/1915;;;A. Peter;;;58173;;H. Zwetsloot;;;D Ost Afrika, O Usambara: in Amani. C. 900 m ü. M.;;False;A. Peter, Reisen in Afrika 1913-1915;;-5.101461 , 38.633785;;;;;Funtumia elastica (Preuss) Stapf;;;;
B;Herbarium Berolinense;B101124398;10;8501351;Apocynaceae;indet.;sp.;;Tansania;True;;;;Tanga;;;;10/01/1914 - 10/01/1914;False;False;A. Peter;;False;58108;False;H. Zwetsloot;;False;D Ost Afrika, O Usambara: Amani → das Sigital. 850 m. ü. M.;False;;A. Peter, Reisen in Afrika 1913-1919;False;-5.111066 , 38.66785;;;;False;Funtumia elastica (Preuss) Stapf;;;;
B;Herbarium Berolinense;B101124434;10;8501351;Apocynaceae;indet.;sp.;;Nigeria;;;;False;Lagos;;;False;;;True;Schlechter;;;;True;;;True;Lagos;;False;;True;6.4550575 , 3.3941795;;;;False;Apocynaceae;;;;
B;Herbarium Berolinense;B101124463;10;8501351;Apocynaceae;indet.;sp.;;Tansania;False;;;;Iringa;;;;08/02/1962 - 08/02/1962;False;False;R. Polhill and S. Paulo;;False;1392;False;;;True;Tanganyika: 16 ml. S.E. of Iringa on the Dabaga road, 5,800 ft. Well drained red soil, young Isoberlinia with Combretum, Uapaca, Acacia, Parinari.;False;;;True;-8.023776 , 35.852;;;;False;Glossostelma spathulatum (K.Schum.) Bullock;;;;
B;Herbarium Berolinense;B101124462;10;8501351;Apocynaceae;indet.;sp.;;Tansania;False;;;;Ruvuma;;;;27/12/1955 - 27/12/1955;False;False;E. Milne-Redhead and P. Taylor;;False;7914;False;;;True;Tanganyika: Songea District. Songea in cleared regenerating Brachystegia woodland. Scattered throughout the Brachystegia woodland around Songea: 1080 m.;False;;;True;-10.654555 , 35.64857;;;;False;Glossostelma carsonii (N.E.Br.) Bullock;;;;
B;Herbarium Berolinense;B101124461;10;8501351;Apocynaceae;indet.;sp.;;Eritrea;;;;False;Southern Red Sea;;;False;23/03/1961 - 23/03/1961;;;B. Herm;;;16;;S. Liede-Schumann;;;Asmara, Thio, Dankalia, im Küstensand.;;False;;True;14.689424 , 40.959667;;;;;Glossonema Decne.;;;;
