specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;Berberidaceae_scientific_name - scientific_name;Berberidaceae_scientific_name - species_name_not_in_list;Berberidaceae_scientific_name - genus_name_not_in_list;Berberidaceae_scientific_name - not_sure;Berberidaceae_scientific_name - no_info
B;Herbarium Berolinense;B101200952;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101200951;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101200950;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B100208050;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B100351163;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B100539403;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B100537112;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101200949;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101200948;11;10043764;BERBERIDACEAE;indet.;sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101098746;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;False;Berlin;;;;[Otto Nebel];;False;01/05/1918 - 31/05/1918;False;False;;True;;;True;[Berlin];True;;Otto Nebel;False;;;;;True;Podophyllum peltatum L.;;;;
B;Herbarium Berolinense;B101200946;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Hubei(湖北);;;;E. H. Wilson;;False;01/05/1907 - 31/05/1907;False;False;3203;;J. M. H. Shaw;;False;Western Hupeh;False;;;True;;;;;True;Podophyllum mairei Gagnep.;;;;
B;Herbarium Berolinense;B101200947;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Hubei(湖北);;;;Aug. Henry;;False;01/01/1885 - 31/12/1888;False;False;3952;False;J. M. H. Shaw;;;Prov. Hupeh;False;;Aug. Henry;False;;;;;True;Podophyllum mairei Gagnep.;;;;
B;Herbarium Berolinense;B101200945;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;R. Schlechter;;False;28/05/1924 - 28/05/1924;False;False;;True;;;True;Cult. in Hort. Bot. Dahlem: [Heimat] China Japan;False;;;True;;;;;True;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200944;11;10043764;BERBERIDACEAE;indet.;sp.;;;False;;;True;;;;True;;;True;;;True;;True;;;True;;;True;;True;;;;;True;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200943;11;10043764;BERBERIDACEAE;indet.;sp.;;Japan;False;;;;Tokushima(徳島県);;;;B. Krug;;False;01/01/1919 - 31/12/1919;False;False;451;False;;;True;Shikoko;False;;;True;34.155353 , 134.506784;;;;False;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200942;11;10043764;BERBERIDACEAE;indet.;sp.;;Japan;False;;;;Tokushima(徳島県);;;;B. Krug;;False;01/01/1919 - 31/12/1919;False;False;1496;False;;;True;Shikoko, Bezirk Tokushima;False;;;True;34.155353 , 134.506784;;;;False;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B100345763;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Jiangxi(江西);;;;Ding Xiao-Ping;;False;03/06/2005 - 03/06/2005;False;False;75;False;;;True;Fenyizhen, Fenyi Co., Zhangxi Prov., Alt. 330 m;False;;;True;27.811111111111114 , 114.66777777777779;;;;False;Nandina domestica Thunb.;;;;
