specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;betulaceae_scientific_name - scientific_name;betulaceae_scientific_name - species_name_not_in_list;betulaceae_scientific_name - genus_name_not_in_list;betulaceae_scientific_name - not_sure;betulaceae_scientific_name - no_info
B;Herbarium Berolinense;B101223403;12;9145619;BETULACEAE;indet.;sp.;;Griechenland;False;;;;Peloponnes (Pelopónnisos);;;;;;True;Th. Orphanedes;;False;;True;;;True;In Pheneo Graeciae;False;;L. C. Treviranus;False;37.9512961 , 22.3246617;;;;False;Carpinus duinensis Scop.;;;;
B;Herbarium Berolinense;B101223404;12;9145619;BETULACEAE;indet.;sp.;;Griechenland;False;;;;Ostmakedonien und Thrakien (Anatolikí Makedonía kai Thráki);;;False;20/07/1978 - 20/07/1978;;;W. Greuter;;;16073;False;W. Greuter;;False;Mikropolis (Graecia, prov. et distr. Dhrama), in latere boreo-orientali montis Meniki (Boz dagh Serron) supra fontem Dereiolu, alt. 750 m, in clivis orientem spectantibus, dumetis caducifoliis mixtis obtectis, solo calcareo;;False;;True;41.165578 , 23.716829;;;;;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223405;12;9145619;BETULACEAE;indet.;sp.;;Griechenland;False;;;;Ostmakedonien und Thrakien (Anatolikí Makedonía kai Thráki);;;;12/06/1999 - 12/06/1999;False;False;A. Schuler;;False;99/598;False;;;True;Nomos: Evros, Dimos: Sufli. Tries Vrisis area, east of Kallithea, Alnus gallery along stream. On gneisses an gneiss-schists. Alt. 500 m;False;;;True;41.12083333333334 , 26.0125;;;;False;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223406;12;9145619;BETULACEAE;indet.;sp.;;Iran;False;;;;;;;True;24/04/1976 - 24/04/1976;False;False;Schedler;;False;;True;;;True;Kaspischer Tieflandswald. Persien;False;;E. Bolay;False;;;;;True;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223407;12;9145619;BETULACEAE;indet.;sp.;;Iran;False;;;;Golestan;;;;26/07/1948 - 27/07/1948;False;False;K. H. et F. Rechinger;;False;6194;False;;;True;Prov. Gorgan (Asterabad): In declivibus borealibus montium Shahvar prope Hadjilang, ca. 2400-2600 m;False;;;True;36.56667 , 54.71667;;;;False;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223408;12;9145619;BETULACEAE;indet.;sp.;;Griechenland;False;;;False;Zentralmakedonien (Kentrikí Makedonía);;;;28/07/1999 - 28/07/1999;False;False;A. Schuler;;False;99/1179;False;;;True;Pela [Pella], Dimos: Exaplatanos, Mount Pinovo. Fagus-Abies wood near timberline. On limestone. Alt.: 1650 m;False;;A. Schuler;False;41.109722222222224 , 22.098333333333333;;;;False;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223409;12;9145619;BETULACEAE;indet.;sp.;;Rumänien;False;;;False;Mehedinţi;;;False;21/07/1927 - 21/07/1927;False;False;O. Fiedler;;False;7589;False;;;True;"Banat: Buschwald an sonnigen Hängen im Kazanpaß; 50 m.";False;;Otto Fiedler;False;44.63209607152641 , 22.27615356445313;;;;False;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223410;12;9145619;BETULACEAE;indet.;sp.;;Griechenland;False;;;;Zentralmakedonien (Kentrikí Makedonía);;;;31/07/1999 - 31/07/1999;False;False;A. Schuler;;False;99/1282;False;;;True;Pela [Pella], Dimos: Aridea, Mount: Voras. Valley between Loutraki and Orma. Pinus nigra woods. On limestone. Alt.: 520 m;;False;;True;40.96416666666667 , 21.898888888888887;;;;False;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223411;12;9145619;BETULACEAE;indet.;sp.;;Rumänien;False;;;;Caraş-Severin;;;;07/06/1887 - 07/06/1887;False;False;Bornmüller;;False;;True;;;True;in silvis mts Damugled [Domogled] una cum C. Betulus L.;False;;J. Bornmüller;False;44.869838 , 22.410887;;;;;Carpinus orientalis Mill.;;;;
B;Herbarium Berolinense;B101223412;12;9145619;BETULACEAE;indet.;sp.;;Rumänien;False;;;;Mehedinţi;;;;13/05/1943 - 13/05/1943;False;False;Al. Buia;;False;;True;;;True;Distr. Severin. In declivibus saxosus supra fluvi Danubii, inter pag. Eșelnița et Dubova. Alt. s.m. cca 100 m.;False;;;True;44.66645892601479 , 22.301387786865238;;;;False;Carpinus orientalis Mill.;;;;
