specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1039123;2;5006053;Gnetaceae;Gnetum;latifolium;;Malaysia;False;;;;Sabah;;;;13/12/1931 - 13/12/1931;False;False;J. & M. S. Clemens;;;False;27506;False;Markgraf;;False;Tenompok, 5000 feet;False;;5.52 , 116.31;;;
B;Herbarium Berolinense;B 10 1039126;2;5006053;Gnetaceae;Gnetum;latifolium;;Indonesien;False;;;;East Java;;;;22/10/1895 - 22/10/1895;False;False;S. H. Koorders;;;False;21203;False;S. H. K. [Koorders];;False;Insula Java. Besoeki. Puger;False;;-8.378425620806496 , 113.47465038299562;;;
B;Herbarium Berolinense;B 10 1039122;2;5006053;Gnetaceae;Gnetum;latifolium;;Philippinen;;;;False;Quezon;;;False;01/05/1925 - 30/06/1925;;;Ramos, Edano;;;;45526;;Markgraf;;;Siguran Tayabas Province Luzon;;False;14.0263471 , 121.5918364;;;False
B;Herbarium Berolinense;B 10 1039120;2;5006053;Gnetaceae;Gnetum;latifolium;;Indonesien;False;;;;East Java;;;;25/08/1897 - 25/08/1897;False;False;S. H. Koorders;;;False;28951 β;False;;;True;Insula Java. Besoeki. Rogodjampi;False;;-8.315042672822672 , 114.32029724121095;;;
B;Herbarium Berolinense;B 10 1039121;2;5006053;Gnetaceae;Gnetum;latifolium;;Indonesien;;;;False;West Papua;;;False;01/10/1926 - 31/10/1926;;;Docters van Leeuwen;;;;10624;;Markgraf;;;N. Guinea, Nassaugeb.[Sudirmangebirge] Exploratie bivak ca. 700 m.;;False;;;;True
B;Herbarium Berolinense;B 10 1039119;2;5006053;Gnetaceae;Gnetum;latifolium;;Papua-Neuguinea;False;;;;Oro;;;;12/04/1936 - 12/04/1936;False;False;C. E. Carr;;;False;16368;False;;;True;Kokoda, forest, ca 1200 feet;False;;-8.8772658 , 147.7374036;;;
B;Herbarium Berolinense;B 10 0001484;2;5006053;Gnetaceae;Gnetum;latifolium;;Indonesien;;;;False;;;;True;;;True;;;;True;318;False;;;True;Java;;False;;;;True
B;Herbarium Berolinense;B 10 0001485;2;5006053;Gnetaceae;Gnetum;latifolium;;Malaysia;False;;;;Perak;;;;;;True;L. Wray Jr.;;;False;2851;False;;;True;Perak;;False;;;;True
B;Herbarium Berolinense;B 10 0001483;2;5006053;Gnetaceae;Gnetum;latifolium;;Philippinen;;;;False;Romblon;;;False;01/05/1910 - 31/05/1910;;;A. D. E. Elmer;;;;12301;;;;True;Magallanes (Mt. Giting-Giting) [Guiting-Guiting] Province of Capiz, island of Sibuyan;;False;12.407071396201276 , 122.5792694091797;;;False
B;Herbarium Berolinense;B 10 0001482;2;5006053;Gnetaceae;Gnetum;latifolium;;Philippinen;;;;False;Bataan;;;False;01/07/1907 - 31/07/1907;;;H. M. Curran;;;;7374;;;;True;Lamao Forest Reserve, Bataan Prov. Luzon;;False;14.511803069129387 , 120.60104214842237;Lamao, Bataan;;False
B;Herbarium Berolinense;B 10 0086025;2;5006053;Gnetaceae;Gnetum;latifolium var. peekelii;;Papua-Neuguinea;False;;;;New Ireland;;;;01/05/1912 - 31/05/1912;False;False;Peekel;;;False;835;False;Markgraf;;False;Lamekot, Neu-Mecklenburg, beim Gehöft Patleras, im Busch, Höhe ü. d. M.: 8 m;False;;-2.823234 , 151.1827687;;;False
B;Herbarium Berolinense;B 10 1039134;2;5006053;Gnetaceae;Gnetum;latifolium var. minus;;Vietnam;False;;;;Ninh Thuận;;;False;31/03/1923 - 31/03/1923;;False;Poilane;;;False;5900;;;;True;Annam: Ca - na prov. Phanrang;False;;11.336388888888889 , 108.89305555555556;Ca-Na, Ninh Thuân;;False
B;Herbarium Berolinense;B 10 0086024;2;5006053;Gnetaceae;Gnetum;latifolium var. laxifrutescens;;Papua-Neuguinea;False;;;;;;;True;;;True;G. Peekel;;;False;942;False;;;True;;;True;;;;True
B;Herbarium Berolinense;B 10 1039132;2;5006053;Gnetaceae;Gnetum;latifolium var. laxifrutescens;;Indonesien;False;;;;Aceh;;;;19/04/1918 - 19/04/1918;False;False;Achmad;;;False;382;False;Markgraf;;False;Archipel Ind., Eil. Simaloer [Pulau Simeuluë] W. v. Sumatra;False;;2.629125 , 96.0240482844163;;;
B;Herbarium Berolinense;B 10 1039133;2;5006053;Gnetaceae;Gnetum;latifolium var. laxifrutescens;;Indonesien;True;;;;West Java;;;;;;True;;;;True;;True;Mgf. [F. Markgraf];;False;Cult. in Hort. Bog[oriensis] X. A 8a, [Patria: Insel] Bangka;False;;-6.5962986 , 106.7972421;;;
B;Herbarium Berolinense;B 10 1039130;2;5006053;Gnetaceae;Gnetum;latifolium var. blumei;;Papua-Neuguinea;False;;;;Morobe;;;;17/10/1935 - 17/10/1935;False;False;J. & M. S. Clemens;;;False;473;False;;;True;Morobe District, Alt.: 1 - 2000 ft;False;;;;;True
B;Herbarium Berolinense;B 10 1039129;2;5006053;Gnetaceae;Gnetum;latifolium var. blumei;;Papua-Neuguinea;False;;;;Morobe;;;;27/10/1935 - 27/10/1935;False;False;Clemens;;;False;473;False;;;True;Nordöstliches Neu-Guinea, Morobe-Distrikt, Sattelberg, above Heldsbach, 1- 2000 Fuß;False;;-6.498349065989793 , 147.79323577880862;;;
B;Herbarium Berolinense;B 10 1039149;2;5006053;Gnetaceae;Gnetum;leyboldii;;Ecuador;False;;;;Tungurahua;;;;26/11/1955 - 26/11/1955;False;False;Erik Asplund;;;False;18638;False;F. Markgraf;;False;Prov. Tungurahua, Rio Negro, forest on shore of Rio Pastaza, alt. c. 1200 m;False;;-1.4114287296353873 , -78.20703506469728;;;
B;Herbarium Berolinense;B 10 1039147;2;5006053;Gnetaceae;Gnetum;leyboldii;;Brasilien;;;;False;Pará;;;False;21/08/1926 - 21/08/1926;;;A. Ducke;;;;19407;;;;True;In silva riparia inundata flum. Anajaz (parte occident. insulae Marajo aestuarii amazonii, civ. Pará);;False;-0.9804816634466932 , -49.949451376077974;;;False
B;Herbarium Berolinense;B 10 1039146;2;5006053;Gnetaceae;Gnetum;leyboldii;;Brasilien;False;;;;Amazonas;;;;19/08/1913 - 19/08/1913;;;A. Ducke;;;;19409;;Markgraf;;;Collares, in silva riparie fluvii Pará;;False;-0.936423 , -48.280254;;;
B;Herbarium Berolinense;B 10 1039145;2;5006053;Gnetaceae;Gnetum;leyboldii;;Venezuela;False;;;;Amazonas;;;;09/05/1980 - 09/05/1980;False;False;Otto Huber;;;False;5243;False;F. Markgraf;;False;"T. F. Amazonas: Depto. Atures: sabanas y bosques en la región de Rincones de Chacorro, a unos 30 km al N del Puerto Ayacucho y a unos 5 km al NE de Galipero; Alt. ± 80 m. s. n. m.";False;;5.8 , -67.33333333333333;;;
B;Herbarium Berolinense;B 10 1039148;2;5006053;Gnetaceae;Gnetum;leyboldii;"""Kein Etikett""";Brasilien;False;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0001487;2;5006053;Gnetaceae;Gnetum;leyboldii;;Brasilien;False;;;;Pará;;;;01/02/1900 - 28/02/1900;False;False;J. Huber;;;False;;True;Mgf. [F. Markgraf];;False;Ad ripas flum. Arama in aestuarii amazonici insulis Breves (civ. Para);;False;-1.6755120057946518 , -50.49625396728516;;;
B;Herbarium Berolinense;B 10 0268944;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Sud-Ouest;;;;;;True;;;;True;;True;Markgraf;;False;Versuchsanstalt Victoria;False;;4.010507373180358 , 9.20534133911133;;;
B;Herbarium Berolinense;B 10 0268947;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Sud;;;;;;True;G. Zenker;;;False;;True;E. H. Biye;;False;Bipinde;False;;3.077777777777778 , 10.409166666666668;;;
B;Herbarium Berolinense;B 10 0046569;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Littoral;;;;22/05/1972 - 22/05/1972;False;False;A. J. M. Leeuwenberg;;;False;9893;False;E. H. Biye;;False;Chutes Ekom, Nkam R. Old secondary forest. alt. about 500 m. Laterite.;False;;5.06201315 , 10.029731114812;;;False
B;Herbarium Berolinense;B 10 0001465;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Littoral;;;;01/02/1874 - 28/02/1874;False;False;Buchholz;;;False;;True;;;True;Kamerun, Abo;False;;4.2452364 , 9.7199855;Abo, Littoral, Kamerun;;False
