specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info;scientific_name - same_as_label;scientific_name - scientific_name;scientific_name - not_in_list;scientific_name - family;scientific_name - genus;scientific_name - epiteth;owner - question_1;owner - no_info
B;Herbarium Berolinense;B 10 1181198;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Uşak;;;;;;;;05/06/1955 - 05/06/1955;False;False;H. u. E. Walter;;;False;85;False;A. Huber-Morath;;False;Uşak > Çivril, ca. 25 km hinter Uşak. Weide, soz. Aufnahme.;False;;38.540683333333334 , 29.643533333333334;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181196;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Manisa;;;;;;;;05/07/1984 - 05/07/1984;False;False;Per Hartvig, Arne Strid & Ahmed Yayıntaş;;;False;23228;False;Gerald Parolly;;False;Along road from the town Manisa to top of Manisa Dağı (Mt. Sipylus), 1200 m. Rocky plateau with Juniperus oxycedrus & J. excelsa scrub. Limestone.;False;;38.53333333333333 , 27.416666666666668;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181194;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Muğla;;;;;;;;11/07/1984 - 11/07/1984;False;False;Per Hartvig, Özcan Seçmen & Arne Strid;;;False;23504;False;Gerald Parolly;;False;Ak Dağ, W side, 2300-2600 m. Rocky slopes. Limestone.;False;;36.53333333333333 , 29.533333333333335;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181195;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Muğla;;;;;;;;09/07/1984 - 09/07/1984;False;False;Per Hartvig, Özcan Seçmen & Arne Strid;;;False;23387;False;Gerald Parolly;;False;Çal Dağ (N of Fethie), S side, 1800 m. Rocky slope in opening of mixed coniferous forest. Limestone.;False;;36.833333333333336 , 29.133333333333333;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181193;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Denizli;;;;;;;;06/06/1955 - 06/06/1955;False;False;H. und E. Walter;;;False;165;False;A. Huber-Morath;;False;Vor Tavaz, ca 1050 m;False;;37.56666666666667 , 29.066666666666666;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181216;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Mersin;;;;;;;;29/09/1984 - 29/09/1984;False;False;I. Hagemann, J. Binder, W. Schwarz;;;False;2249;False;I. Hagemann;;False;Provinz Icel, 21 km nordwestlich Mersin in Richtung Aslankoy [Arslanköy], 800 m ü. M., steile SW-exponierte Kalkfelswände, blockig anstehender Fels mit ruhenden Grobschotterbänken, Kalk, mit Quercus coccifera, stark beweidet.;False;;36.91860714749744 , 34.43389892578126;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181215;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Denizli;;;;;;;;09/10/1984 - 09/10/1984;False;False;I. Hagemann, J. Binder, W. Schwarz;;;False;2603;False;U. Matthäs;;False;Honaz-Massiv südlich von Denizli, 1250 m ü. M., Lichtung in Pinus nigra-Bestand, auf Kalk.;False;;37.70280765184741 , 29.141721732448794;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181211;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Deutschland;True;;;;Berlin;;;;;;;;05/07/1989 - 05/07/1989;False;False;Schwerdtfeger;;;False;25128;False;Schönefeld;;False;Bot. Garten Berlin-Dahlem. Samenherkunft: Türkei : Prov. Konya, anatolisches Hochland, an der Strasse von Konya nach Ankara, 5 km nördlich von Keslik, 1000 m ü. M., Grassteppe.;False;;52.45398261720805 , 13.304443359375002;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181210;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;;;;False;Şanlıurfa;;;False;;;;;17/07/1984 - 17/07/1984;;;Gōnul Kaynak;;;;K10;;Gōnul Kaynak;;;C7=Urfa=Siverek, 8 km to Karabahçe. Stony mountain steppe. Alt. 1600 m.;;False;37.79839089938075 , 39.77668762207032;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181203;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;İzmir;;;;;;;;07/07/1933 - 07/07/1933;False;False;O. Schwarz;;;False;823;False;;;True;"Smyrna; Nifdağ: in pinetis subalpinis lapidosis, solo calcareo; ca. 1400 m s. m.";False;;38.29944444444444 , 27.01888888888889;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181202;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Manisa;;;;;;;;12/08/1933 - 12/08/1933;False;False;O. Schwarz;;;False;1000;False;;;True;"M. Sipylos Magnesiae: in pascuis lapidosis, solo calcareo; 12 - 1600 m. s. m.";False;;38.56843676635996 , 27.455520629882816;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181199;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Denizli;;;;;;;;05/06/1955 - 05/06/1955;False;False;H. und E. Walter;;;False;115;False;A. Huber-Morath;;False;Pamukkale bei Denizli;False;;37.91571058580079 , 29.134712219238285;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181192;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Denizli;;;;;;;;06/06/1955 - 06/06/1955;False;False;H. u. E. Walter;;;False;165;False;A. Huber-Morath;;False;Anatolien. Vor Tavaz, ca. 1050 m.;False;;37.57202995351112 , 29.08842087490485;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181220;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Manisa;;;;;;;;30/07/1981 - 30/07/1981;False;False;M. Nydegger;;;False;16997q;False;M. Nydegger;;False;6 km südlich Sarıgöl, von Denizli nach Alaşehir (Anatolien) Höhe 530 m. Ackerland.;False;;38.199029838234416 , 28.664274215698246;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0054900;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;;;;;;07/08/1999 - 07/08/1999;False;False;M. Döring, G. Parolly & D. Tolimir;;;False;1348;False;D. Tolimir & Parolly;;False;Aladağları. Open and strongly grazed thorn-cushion communities. Alt. 2000 m. Limestone.;False;;37.825568578747436 , 35.1161384547595;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0132572;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;False;Adana;;;;;;;;06/08/1999 - 06/08/1999;False;False;M. Döring, G. Parolly & D. Tolimir;;;False;1279;False;D. Tolimir & Parolly;;False;Aladağları, Kayacik Deresi, Boulder-rich thorn-cushion communities with mobile scree. Alt. 2200 m. Limestone;False;;37.574990767984865 , 34.99968571475493;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0642332;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Mersin;;;;;;;;22/07/1992 - 22/07/1992;False;False;P. Hein;;;False;A 77-1;False;P. Hein;;False;Hochebene zwischen Akpinar und Kasançi, N Anamur. C 4 Içel: ca. 36°20' n. Br., 32°53' ö.L. Kalk-Felsklötze mit Spalten, 40-90°, 1470 m, SO-exponiert.;False;;36.333333333333336 , 32.88333333333333;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0642328;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;False;;;;;03/08/1992 - 03/08/1992;False;False;P. Hein;;;False;73-16;False;P. Hein;;False;Bolkar Dağları: Kara-Göl-Kar, östlicher Bereich am Aufstieg zum Tachtakaya, felsiger Hang. 2700 m.;False;;37.40084207098495 , 34.57540511211847;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0642329;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;;;;;;15/10/1992 - 15/10/1992;False;False;P. Hein;;;False;106-9;False;P. Hein;;False;Ala Dağları: Narpız Boğazı-Schlucht südlich Demirkazik Köy. Felsiger Hang. 2400 m.;False;;37.82775156590536 , 35.13361930672546;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181219;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Karaman;;;;;;;;23/07/1992 - 23/07/1992;False;False;P. Hein;;;False;54-1;False;;;True;Mittlerer Taurus: Pass östlich des Oyuklu Dağ, ca. 30 km N Ermenek. Spalten in Ophiolith-Felshöckern, 1600 m.;False;;36.8546668463555 , 32.92001724243165;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181218;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;;;;;;13/08/1992 - 13/08/1992;False;False;G. Parolly;;;False;92-72;False;G. Parolly;;False;Aladağları: Sokulpinar [Sokulu Pınar]. Weide, Zwerggesträuche, 2000-2100 m, Kalk und Sandstein, 20-30°, SE-exp.;False;;37.82585311434832 , 35.115845203399665;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0642330;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Karaman;;;;;;;;23/07/1992 - 23/07/1992;False;False;P. Hein;;;False;54-1;False;;;True;Karaman, (Konya): Mittlerer Taurus: Pass östlich des Oyuklu Dağ. ca. 30 km N Ermenek. Spalten in Ophoilith-Felshöckern, 1600 m.;False;;36.831776785649296 , 32.93563843821176;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0642331;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;İzmir;;;;;;;;25/05/1995 - 25/05/1995;False;False;P. Hein;;;False;165;False;P. Hein;;False;Dilek Yarimadası (Samsum Dağ): 5 km westlich Güzelçamlı: Kanyon. Felsiger Ort, Kalk. 100 m.;False;;37.666666666666664 , 27.25;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181217;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;;;;;;13/08/1992 - 13/08/1992;False;False;P. Hein;;;False;103-3;False;P. Hein;;False;Ala Dağları: 1 km nördlich von Sokulupınar, 3 km SO Demirkazik Köy. Dornpolsterformation, Kalk, 2000 m.;False;;37.828 , 35.114;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0270516;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Niğde;;;;;;;;11/08/1999 - 11/08/1999;False;False;M. Döring, G. Parolly & D. Tolimir;;;False;1474;False;D. Tolimir;;False;Aladağları, W of the main Aladağları range. Predominantly steppe elements mixed with thorny cushions and dwarf shrubs. Alt. 1720 m. Limestone.;False;;37.85766228773265 , 35.10183334350587;;;;;;;;;;;
