specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo4 - position;geo4 - description;geo4 - not_sure;geo4 - no_info;scientific_name - scientific_name;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1022845;4;7214750;Zingiberaceae;Costus;pulverulentus;;Panama;False;;;;Bocas del Toro;;;;;;;;26/07/1971 - 26/07/1971;False;False;Thomas B. Croat & Duncan M. Porter;;False;;;;;16239;False;;True;P. J. M. Maas;;False;Forest above RR stop at Milla 7.5;False;;;;;;;9.372515156682569 , -82.46749877929689;;;;False
B;Herbarium Berolinense;B 10 1022844;4;7214750;Zingiberaceae;Costus;pulverulentus;;Ecuador;False;;;;Pichincha;;;;;;;;19/10/1961 - 19/10/1961;False;False;P. C. D. Cazalet & T. D. Pennington;;False;;;;;5008;False;;True;P. J. M. Maas;;False;20 km W of Santo Domingo de los Colorados. Alt. 1000';False;;;;;;;-0.25787674692104917 , -79.39690589904787;;;;False
B;Herbarium Berolinense;B 10 1022828;4;7214750;Zingiberaceae;Costus;lucanusianus var. lucanusianus;;Martinique;False;;;;(Martinique);;;;;;;;01/01/1880 - 31/12/1880;False;False;Pere Duss;;False;;;;;2109 b;False;Herb. Acad. Rheno-Trai.;False;P. J. M. Maas;;False;Hauteur du Carbet, Fonds-Saint-Denis;False;;;;;;;14.718108077356941 , -61.10921859741212;;;;False
B;Herbarium Berolinense;B 10 1022875;4;7214750;Zingiberaceae;Costus;speciosus;;Indonesien;;;;False;West Java;;;False;;;;;01/01/1886 - 31/12/1887;;;O. Warburg;;;;;;;2273;;;True;P. J. M. Maas;;;Buitenzorg [Bogor];;False;;;;;;-6.5962986 , 106.7972421;;;;
B;Herbarium Berolinense;B 10 1022888;4;7214750;Zingiberaceae;Costus;spiralis var. villosus;;Französisch-Guayana;False;;;;(Guyane Française);;;;;;;;20/08/1987 - 20/08/1987;False;False;Granville J. J. de, Allorge L., Hahn W. J. & Hoff M.;;False;;;;;9503;False;;True;Granville J. J. de;;False;Roche ruine Roche Koutou - Bassin du Haut-Marouini 1 km au Sud de la Roche. Alt.: 250 m.;False;;;;;;;2.8824155820582047 , -54.0499234199524;;;;False
B;Herbarium Berolinense;B 10 1022921;4;7214750;Zingiberaceae;Etlingera;venusta;;Thailand;;;;False;Nakhon Si Thammarat(นครศรีธรรมราช);;;False;;;;;28/04/1928 - 28/04/1928;;;A. F. G. Kerr;;;;;;;15440;;;True;Kai Larsen;;;Kao Luang, North Sritanarat. Evergreen forest.;False;;;;;;;8.420753 , 99.695435;;;;False
B;Herbarium Berolinense;B 10 1022961;4;7214750;Zingiberaceae;Globba;sp.;;Indonesien;False;;;;Central Java;;;;;;;;01/01/1886 - 31/12/1887;False;False;O. Warburg;;False;;;;;3644;False;;True;;;True;Ins. Java: [Gunung] Wilis.;False;;;;;;;-7.8658 , 111.8034;;;;False
B;Herbarium Berolinense;B 10 1022885;4;7214750;Zingiberaceae;Costus;spiralis var. spiralis;;Guyana;False;;;;Cuyuni-Mazaruni;;;;;;;;15/04/1987 - 15/04/1987;False;False;Brian Boom & Doorjoohan Gopaul;;False;;;;;7333;False;New York Botanical Garden;False;P. Maas;;False;Upper Mazaruni River region, between Kako, an Akawaio Indian village on the Kako River near its junction with Mazaruni River and Karowtipu. Ca. 500 m elev.;False;;;;;;;5.75 , -60.583333333333336;;;;False
B;Herbarium Berolinense;B 10 1002072;4;7214750;Zingiberaceae;Costus;sp.;;Costa Rica;False;;;;Limón;;;;;;;;08/03/1990 - 08/03/1990;False;False;P. Hiepko;;False;;;;;3357;False;;True;;;True;westlich Puerto Viejo;False;;;;;;;9.65 , -82.76666666666667;;;;False
B;Herbarium Berolinense;B 10 1022892;4;7214750;Zingiberaceae;Costus;sp.;;Kolumbien;;;;False;Valle del Cauca;;;;;;;;01/06/1930 - 30/06/1930;False;False;E[ditha Ida] Dryander;;;;;;;301;False;;True;P. J. M. Maas;;;Central Cordilleren Monto Bolo, Rio Bolo 1500 m;False;;;;;;;3.4254646164188687 , -76.11422538757326;;;;False
B;Herbarium Berolinense;B 10 1022903;4;7214750;Zingiberaceae;Curcuma;sessilis;;Thailand;False;;;;Mae Hong Son(แม่ฮ่องสอน);;;;;;;;05/09/1974 - 05/09/1974;False;False;Kai Larsen & Supee S. Larsen;;False;;;;;34153;False;;True;Kai Larsen;;False;Northern: Khun Yuam. 600-700 m alt.;False;;;;;;;18.25 , 98.0;;;;False
B;Herbarium Berolinense;B 10 1022893;4;7214750;Zingiberaceae;Curcuma;aeruginosa;;Indonesien;True;;;;West Java;;;;;;;;01/05/1886 - 31/05/1886;False;False;O. Warburg;;False;;;;;1273;False;;True;;;True;Culta in horto botanico Bogoriensi;False;;;;;;;-6.5962986 , 106.7972421;;;;False
B;Herbarium Berolinense;B 10 1022700;4;7214750;Zingiberaceae;Alpinia;sp.;;Philippinen;;;;False;;;;True;;;;;;;True;A. Loher;;;;;;;4021;;Ex Herb. Hort. Bot. Reg. Kew.;;;;True;;;True;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022699;4;7214750;Zingiberaceae;Alpinia;sp.;;Indonesien;;;;False;East Nusa Tenggara;;;False;;;;;06/05/1925 - 06/05/1925;;;Iboet;;;;;;;415;;;True;;;True;Maoe marroe [Maumaru auf der Insel Sumba];;False;;;;;;-10.0036 , 120.4978;;;;
B;Herbarium Berolinense;B 10 1022693;4;7214750;Zingiberaceae;Alpinia;sp.;;Fidschi;;;;False;Central;;;False;;;;;27/11/1968 - 27/11/1968;;;;;True;;;;;;True;W. Schwabe;False;;;True;Insel Viti Levu, Suva;;False;;;;;;-18.1415884 , 178.4421662;;;;
B;Herbarium Berolinense;B 10 1022692;4;7214750;Zingiberaceae;Alpinia;sp.;;Sri Lanka;True;;;False;Colombo;;;False;;;;;22/12/1975 - 22/12/1975;;;;;True;;;;;;True;W. Schwabe;;Kai Larsen;;;Colombo, Ayurveda-Bot. Garten;;False;;;;;;6.918928810745054 , 79.85584259033205;;;;False
B;Herbarium Berolinense;B 10 1022687;4;7214750;Zingiberaceae;Alpinia;sp.;;Malaysia;False;;;;Sabah;;;;;;;;06/03/1969 - 06/03/1969;False;False;H. P. Nooteboom;;False;;;;;1182;False;;True;;;True;G.[Gunung= Berg] Lumaku, Alt. 300 m., Prim. forest.;False;;;;;;;4.8833 , 115.75;;;;False
B;Herbarium Berolinense;B 10 0140119;4;7214750;Zingiberaceae;Alpinia;sp.;;Vietnam;;;;False;Quảng Ninh;;;False;;;;;03/05/1939 - 22/06/1939;;;W. T. Tsang;;;;;;;29126;;;True;;;True;Taai Wong Mo Shan, near Chuk-Phai, Ha-coi, Tonkin;;False;;;;;;21.4666 , 107.5833;;;;
