specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info;scientific_name - same_as_label;scientific_name - scientific_name;scientific_name - not_in_list;scientific_name - family;scientific_name - genus;scientific_name - epiteth;owner - question_1;owner - no_info
B;Herbarium Berolinense;B 10 1025912;5;6784786;Cupressaceae;Cupressus;sempervirens;;Griechenland;;;;False;Heraklion(Νομός Ηρακλείου);;;False;07/09/1983 - 07/09/1983;;;;;;;H. Risse;;;;;;;1204;;;;True;"Ep. Malevizi: Idhi Oros, Aufstieg S von Kroussonas auf den Mt.Gournos; Kalkfelstriften, Phryganaflachen, 675 - 1050 m;";;False;35.22166666666667 , 24.959722222222222;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026549;5;6784786;Cupressaceae;Juniperus;excelsa;;Türkei;False;;;;Antalya;;;;26/05/1906 - 26/05/1906;False;False;;;;;J. Bornmüller;;False;;;;;10218;False;J. Bornmüller;;False;Lydia: Bunarbaschi, in monte Takhtali-dagh [Tahtalı Dağı]. 900 m. s. m.;False;;36.54498289384616 , 30.474128721398305;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026546;5;6784786;Cupressaceae;Juniperus;excelsa;;Türkei;False;;;;Bilecik;;;;18/05/1929 - 18/05/1929;False;False;;;;;J. et F. Bornmüller;;False;;;;;13658;;;;True;Bithynia: Ad Bilečik, in declivitatibus vallis fluvii Kara-su, in faucibus prope stationem, 3-400 m. s. m.;;False;40.14011668286104 , 30.01370429992676;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026545;5;6784786;Cupressaceae;Juniperus;excelsa;;Türkei;False;;;;Ankara;;;;10/07/1929 - 10/07/1929;False;False;;;;;J. et F. Bornmüller;;False;;;;;13656;False;;;True;Galatia: Ditionis oppiduli Kalečik in monte Kyrkkys-dagh. c. 1000 m. s. m.;False;;40.11221380317288 , 33.43002319335938;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026538;5;6784786;Cupressaceae;Juniperus;excelsa;;Türkei;False;;;;Niğde;;;;01/01/1928 - 31/12/1928;False;False;;;;;Sabri Bey;;False;;;;;;True;;;True;Antitaurus: Bimbragh-Dagh, Arizié, Taula;False;;;;;True;;;;;;;;
B;Herbarium Berolinense;B 10 1026537;5;6784786;Cupressaceae;Juniperus;excelsa;"""Zu viele Belege""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026609;5;6784786;Cupressaceae;Juniperus;excelsa subsp. polycarpos;;Pakistan;False;;;;Balochisan;;;;12/05/1965 - 12/05/1965;False;False;;;;;K. H. Rechinger;;False;;;;;29299;False;A. Farjon;;False;W-Pakistan, Quetta: In jugo W Ziarat, substr., calc., 2200 m. silvas extensas formans;False;;30.144978738032417 , 66.89197540283205;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026639;5;6784786;Cupressaceae;Juniperus;foetidissima;;Türkei;;;;False;Niğde;;;;01/01/1928 - 31/12/1928;False;False;;;;;J. Bornmüller, Sabri-Bey;;;;;;;;True;;;True;"Antitaurus: Azizie, Dede-dagh., Kokan Kapii ""geschlossener Bestand"")";False;;38.11 , 34.65;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0113462;5;6784786;Cupressaceae;Juniperus;foetidissima;;Türkei;;;;False;Muğla;;;False;01/05/2002 - 31/05/2002;;;;;;;Özkan Eren;;;;;;;4947;;Özkan Eren;;;"Babadag above Fethiye 1500-2000 m. Rocky slopes; ; wind-swept cushion communities. Limestone.";;False;36.5303273 , 29.1809394;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026621;5;6784786;Cupressaceae;Juniperus;foetidissima;;Mazedonien;False;;;;Ohrid(Охрид);;;;04/09/1969 - 04/09/1969;False;False;;;;;E. Mayer;;False;;;;;63542;False;E. Mayer;;False;Jugoslavia: Macedonia: Galičica - in jugo inter Oteševo/Prespa et Peštani/Ohrid - in declivibus lapidosis, solo calcareo, cca. 1500 m s. m.;False;;40.95412777777778 , 20.83237777777778;;;False;;;;;;;;
