specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo4 - position;geo4 - description;geo4 - not_sure;geo4 - no_info;scientific_name - scientific_name;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1183745;6;7214637;ACANTHACEAE;Lepidagathis;tenuis;;Philippinen;False;;;;Cagayan;;;;01/04/1926 - 30/04/1926;False;False;;;;;M. Ramos, G. Edaño;;False;;;;;46589;False;;True;;;True;Peñablanca, Cagayan Province, Luzon;False;;;;;;;17.627499103773225 , 121.79546356201173;;;;False
B;Herbarium Berolinense;B 10 1183730;6;7214637;ACANTHACEAE;Lepidagathis;scabra;;Tansania;False;;;;Dodoma;;;;19/01/1962 - 19/01/1962;False;False;;;;;R. Polhill and S. Paulo;;False;;;;;1219;False;;True;;;True;"Tanganyika, Great North Road, 15 ml. S. of Kondoa, Kondoa Distr.; 4300 ft., Sandy soil, with some clay admixed, near a small stream, overgrazed grassland with dry scrub.";False;;;;;;;-5.137791648709639 , 35.82950592041016;;;;False
B;Herbarium Berolinense;B 10 1183768;6;7214637;ACANTHACEAE;Mackenziea;arguta;;Sri Lanka;;;;False;;;;True;;;True;;;;;Otto Warburg;;;;;;;1096;;;True;C. E. B. Bremekamp;;;Ceylon, Nurell;;False;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1184092;6;7214637;ACANTHACEAE;Ruellia;geminiflora;;Venezuela;;;;False;Aragua;;;False;20/06/1934 - 20/06/1934;;;;;;;H. Farenholtz;;;;;;;816;;;True;;;True;Maracay, Savanne oberhalb las Delicias, 500-600 m.;;False;;;;;;10.269379822957987 , -67.53446102142335;;;;
B;Herbarium Berolinense;B 10 1184091;6;7214637;ACANTHACEAE;Ruellia;geminiflora;;Französisch-Guayana;False;;;;(Guyane Française);;;;08/04/1985 - 08/04/1985;False;False;;;;;C. Feuillet;;False;;;;;1649;False;;True;C. Feuillet;;False;Kourou, piste de Petit Saut, PK3. Savane.;False;;;;;;;5.166666666666667 , -53.11666666666667;;;;
B;Herbarium Berolinense;B 10 1184148;6;7214637;ACANTHACEAE;Ruellia;longipedunculata;;Bolivien;;;;False;Tarija;;;False;01/01/1924 - 31/12/1925;;;;;;;K. Pflanz;;;;;;;4132;;;True;Erin Tripp;;;Villamontes;;False;;;;;;-21.27113927204508 , -63.46424102783204;;;;
B;Herbarium Berolinense;B 10 1184139;6;7214637;ACANTHACEAE;Ruellia;jussieuoides;;Mexiko;False;;;;Oaxaca;;;;15/03/1938 - 15/03/1938;False;False;;;;;Ynes Mexia;;False;;;;;9156;False;;True;T. F. Daniel;;False;"Distrito Choapam. Yaveo; Arroyo del Perrico; rocks in streambed. Alt. 475 m.";;False;;;;;;17.33250594815934 , -95.69636821746828;;;;
B;Herbarium Berolinense;B 10 1184127;6;7214637;ACANTHACEAE;Ruellia;inundata;;Mexiko;;;;False;Yucatán;;;False;;;True;;;;;G. F. Gaumer;;;;;;;1695;;;True;Thomas F. Daniel;;;Calotmul;;False;;;;;;21.024104094442205 , -88.17386649442803;;;;
B;Herbarium Berolinense;B 10 1184125;6;7214637;ACANTHACEAE;Ruellia;intermedia;;Mexiko;False;;;;;;;True;30/07/1961 - 30/07/1961;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;;;True;vermutl. Provinz Veracruz oder Oaxaca;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1184169;6;7214637;ACANTHACEAE;Ruellia;morongii;;Brasilien;;;;False;Rio Grande do Sul;;;False;24/11/1952 - 24/11/1952;;;;;;;B. Rambo;;;;;;;;True;;True;Emrich-Rambo;;;Caaró p. S. Luiz In rupestribus graminosis;;False;;;;;;-28.415786320684088 , -54.62775707244873;;;;
