specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;scientific_name - scientific_name;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1176700;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;Nord-Kivu;;;;;;;;26/12/1914 - 26/12/1914;False;False;Bequaert;;False;6401;False;;True;;;True;;Belg. Congo, Masisi, Forêt montagneuse;False;;-1.3713608499999999 , 28.882199317339737;;;;False
B;Herbarium Berolinense;B 10 1176698;7;7895457;Balsaminaceae;Impatiens;sp.;"""Kein Etikett/leeres Etikett""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1176699;7;7895457;Balsaminaceae;Impatiens;sp.;;Indien;False;;;;Tamil Nadu;;;;;;;;;;True;Beddome;;;;True;;True;;;True;;Aus Beddome in Madras [Kopie aus einer Zeitschrift:] Jour. Lit  Science n.s. 4, 1859.;False;;;;;;True
B;Herbarium Berolinense;B 10 1176812;7;7895457;Balsaminaceae;Impatiens;sp.;;Mosambik;False;;;;Zambézia;;;;;;;;01/10/1941 - 01/10/1941;False;False;A. R. Torre;;False;3555;False;;True;E. Launert;;False;;Zambézia: Gúruè, encosta da serra.;False;;-15.454011134407379 , 37.006759643554695;;;;False
B;Herbarium Berolinense;B 10 1176809;7;7895457;Balsaminaceae;Impatiens;sp.;;Simbabwe;;;;False;Manicaland;;;False;;;;;28/02/1955 - 28/02/1955;False;False;N. C. Chase;;False;5896;False;;True;;;True;;South Rhodesia, Distr. Umtali, Alt. 5600', Inwankarara heights, Stapleford Forest Reserve.;True;False;-18.741457092992285 , 32.807580670722004;;;;
B;Herbarium Berolinense;B 10 1176810;7;7895457;Balsaminaceae;Impatiens;sp.;;Simbabwe;;;;False;Manicaland;;;;;;;;11/08/1950 - 11/08/1950;;;N. C. Chase;;;2869;;;True;;;True;;Southern Rhodesia. Beside waterfall in shelter of rock + trees Pungwe River;;False;-18.38811105666292 , 32.8343152999878;;;;False
B;Herbarium Berolinense;B 10 1176811;7;7895457;Balsaminaceae;Impatiens;sp.;;Simbabwe;;;;False;Manicaland;;;False;;;;;11/08/1950 - 11/08/1950;;;N. C. Chase;;;2869;;;True;;;True;;Beside waterfall in shelter of rocks + trees, Pungwe River;;False;;;;;True
B;Herbarium Berolinense;B 10 1176808;7;7895457;Balsaminaceae;Impatiens;sp.;;Thailand;False;;;;;;;True;;;;;01/11/1922 - 30/11/1922;False;False;A. F. G. Kerr;;False;6531;False;;True;;;True;;Siam;False;;;;;;True
B;Herbarium Berolinense;B 10 1176807;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Njombe;;;;;;;;30/01/1961 - 30/01/1961;False;False;Mrs. H. M. Richards;;False;14041;False;;True;;;True;;Valley below Milo Mission. Alt. 1800 m. In deep shade in loam soil by Lwimo R.;False;;-9.886756072527415 , 34.65328216552735;;;;False
B;Herbarium Berolinense;B 10 1176797;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Tanga;;;False;;;;;15/04/1916 - 15/04/1916;;;A. Peter;;;16494;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, W-Usambara: Kamm des Kisimba bei Mazumbai, Urwald, c. 1900 m ü. M.;;False;-4.825502953914535 , 38.49798202514649;;;;
