specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;owner - question_1;owner - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B101027923;8;8746725;CYCADACEAE;Encephalartos;altensteinii;;Deutschland;True;;;;Berlin;;;;25/09/1997 - 25/09/1997;False;False;Cubr;;False;36128;False;;;True;;True;Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: 1;False;;;;;;True
B;Herbarium Berolinense;B101027924;8;8746725;CYCADACEAE;Encephalartos;altensteinii;;Südafrika;True;;;;Gauteng;;;;01/03/1964 - 31/03/1964;False;False;Dyer;;False;270/2;False;;;True;;True;Botanical Research Institute Pretoria;False;;;;;;True
B;Herbarium Berolinense;B101027925;8;8746725;CYCADACEAE;Encephalartos;altensteinii;;Südafrika;True;;;False;Gauteng;;;False;01/01/1964 - 31/12/1964;;;Dyer;;;269/6;;;;True;;True;Cult. Botanical Research Inst. Pretoria. origin Eastern Cape;;False;;;;;True
B;Herbarium Berolinense;B101027926;8;8746725;CYCADACEAE;Encephalartos;altensteinii;;Deutschland;True;;;;Berlin;;;;25/09/1997 - 25/09/1997;False;False;Cubr;;False;36128;False;;;True;;True;Kultiviert im Botanischen Garten  Berlin-Dahlem. Revier 1;;False;52.456747463573485 , 13.30598831176758;;;;False
B;Herbarium Berolinense;B101027927;8;8746725;CYCADACEAE;Encephalartos;altensteinii;;Deutschland;True;;;;Berlin;;;;25/09/1997 - 25/09/1997;;;Cubr;;;36128;False;B. Leuenberger;;False;;True;Kultiviert im Botanischen Garten Berlin-Dahlem. Vermutlich älteste Pflanze im BGBM, stammt aus dem alten Garten in Schöneberg. Hat mehrere Jahre ohne Blätter und Wurzeln in einem Keller gelegen (1943-1946?), geschätztes Alter ca. 150 Jahre.;False;;;;;;True
B;Herbarium Berolinense;B101027933;8;8746725;CYCADACEAE;Encephalartos;eugene-maraisii;;Südafrika;False;;;;Mpumalanga;;;;30/04/1965 - 30/04/1965;False;False;R.A. Dyer,  L. E. Codd, I. C. Verdoorn;;False;5858;False;;;True;;True;Transvaal. Dist. Witbank. In Kloof at The Hell, about 80 miles from Pretoria off Loskop Dam Rd. ± 14 miles N.E. of Kerena. East facing frequent locally.;;False;-25.442504 , 29.189392;;;;
B;Herbarium Berolinense;B101027934;8;8746725;CYCADACEAE;Encephalartos;ghellinckii;;Südafrika;;;;False;KwaZulu-Natal;;;False;05/08/1965 - 05/08/1965;;;R. G. Strey;;;5878;;;;True;;True;Dist. Port Shepstone, Horseshoe Farm. of Lower South Coast Water Corporation. Mountain grassveld. On road from Izingolweni to Murchison Flats Oribi Gorge about 16 miles direct from sea. Alt. 2000';;False;-30.719935 , 30.286922;;;;
B;Herbarium Berolinense;B101027935;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Tansania;False;;;;Kusini Unguja;;;False;10/07/1962 - 10/07/1962;False;False;Helen Faulkner;;False;3080;False;;;True;;True;Zanzibar. Ukongereni. Altitude: Sea-level. Closed bush. Dry area;;False;-6.204945 , 39.479638;;;;
B;Herbarium Berolinense;B101027936;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Tansania;;;;False;Kusini Unguja;;;False;05/06/1952 - 05/06/1952;;;R. O. Williams;;;170;False;;;True;;True;Zanzibar: 26-27 miles Paje Rd;;False;-6.272632 , 39.532311;;;;
B;Herbarium Berolinense;B101027937;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;;False;;;True;;;;True;;;True;Verdcourt;;False;1182;False;;;True;;True;;;True;;;;;True
B;Herbarium Berolinense;B101027938;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Kenia;False;;;;Coast;;;;26/12/1954 - 26/12/1954;False;False;B. Verdcourt;;False;1182;False;;;True;;True;Kikuyuni nr. Malindi;False;;-3.222043 , 40.000887;;;;False
B;Herbarium Berolinense;B101027939;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Kenia;False;;;;Coast;;;;21/11/1961 - 21/11/1961;False;False;R. Polhill and S. Paulo;;False;827;False;;;True;;True;Marafa, 25 ml. N.W. of Malindi, Kilifi Distr. 200 ft. Not infrequent, red sandy soil, Brachystegia, Julbernardia, Cynometra woodland.;False;;-3.03511 , 39.953381;;;;False
B;Herbarium Berolinense;B101027940;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;;False;;;True;;;;True;;;True;Polhill & Paulo;;;827;;;;True;;True;;;True;;;;;True
