specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;aizoaceae_scientific_name - scientific_name;aizoaceae_scientific_name - species_name_not_in_list;aizoaceae_scientific_name - genus_name_not_in_list;aizoaceae_scientific_name - no_info;aizoaceae_scientific_name - not_sure
B;Herbarium Berolinense;B101072767;9;8501354;Aizoaceae;indet.;sp.;;Simbabwe;False;;;;Bulawayo;;;False;04/12/1913 - 04/12/1913;False;False;A. Peter;;False;51052;False;;;True;Süd-Rhodesia, Forest Wall bei Balawayo → Pasipas;;False;A. Peter, Reisen in Afrika;False;-20.08177 , 28.49388;;;;False;;;;;
B;Herbarium Berolinense;B101072765;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;;;;False;Gauteng;;;False;24/11/1913 - 24/11/1913;;;A. Peter;;;50905;;;;True;Transvaal: Wonderboom bei Pretoria.;;False;A. Peter, Reisen in Afrika 1913/19;;-25.691992 , 28.203082;;;;;Aizoaceae;;;;
B;Herbarium Berolinense;B101072763;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Western Cape;;;;24/10/1913 - 24/10/1913;False;False;A. Peter;;False;51279;False;;;True;Kapstadt: Sea Point → Camps Bay.;False;;A. Peter, Reisen in Afrika 1913/19;False;-33.933515 , 18.38412;;;;False;;;;;
B;Herbarium Berolinense;B101072764;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Western Cape;;;;24/10/1913 - 24/10/1913;False;False;A. Peter;;False;51279;False;;;True;Kapstadt: Sea Point -> Camps Bay;False;;A. Peter, Reisen in Afrika;False;-33.95132769148054 , 18.377423286437992;;;;False;Aizoaceae;;;;
B;Herbarium Berolinense;B101072769;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Eastern Cape;;;;21/11/1913 - 21/11/1913;False;False;A. Peter;;False;50860;False;;;True;Kapland: Karroo-Flächen östlich Graaf Reinet. [Graaff-Reinet];;False;;True;-32.302943 , 24.579994;;;;False;;;;;
B;Herbarium Berolinense;B101072762;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;;;;False;Eastern Cape;;;False;19/11/1913 - 19/11/1913;;;A. Peter;;;50830;;;;True;Kapland: Klipplaat zwischen Port Elizabeth und Graaf Reinet.;;False;A. Peter, Reisen in Afrika 1913/19;False;-33.018294 , 24.341594;;;;False;Aizoaceae;;;;
B;Herbarium Berolinense;B101072760;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Eastern Cape;;;False;18/11/1913 - 18/11/1913;False;False;A. Peter;;False;50787;False;;;True;Kapland: Red House bei Port Elizabeth.;False;;A. Peter, Reisen in Afrika 1913/19;False;-33.841726 , 25.571198;;;;False;;;;;
B;Herbarium Berolinense;B101072761;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;;;;False;Eastern Cape;;;False;18/11/1913 - 18/11/1913;;;A. Peter;;;50787;;;;True;Kapland: Red House bei Port Elizabeth;;False;A. Peter, Reisen in Afrika;;-33.842237 , 25.569208;;;;;Aizoaceae;;;;
B;Herbarium Berolinense;B101072759;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Eastern Cape;;;;18/11/1913 - 18/11/1913;False;False;A. Peter;;False;50786;False;;;True;Kapland: Red House bei Port Elizabeth.;False;;A. Peter, Reisen in Afrika 1913/19;False;-33.839034 , 25.568245;;;;False;;;;;
B;Herbarium Berolinense;B101072758;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Eastern Cape;;;;18/11/1913 - 18/11/1913;False;False;A. Peter;;False;50785;False;;;True;Kapland: Red House bei Port Elizabeth.;False;;A. Peter, Reisen in Afrika 1913/19;False;-33.839669 , 25.56906;;;;False;;;;;
